gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_marriage,age_first_childbirth,education,occupation,income,health_work_difficulty,profile_id
Male,17,1962,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Service Occupations,705.0,Health doesn't affect work,0
Female,16,1963,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,,0.0,Health doesn't affect work,1
Female,38,1941,"Non-Black, Non-Hispanic",Non-immigrant,Married,5.0,18.0,19.0,High school,,0.0,Health doesn't affect work,2
Male,78,1901,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,27.0,,College and above,,355.0,Health affects work,3
Male,21,1959,Black,Non-immigrant,Married,0.0,21.0,19.0,High school,"Precision Production, Craft, and Repair Occupations",8305.0,Health doesn't affect work,4
Male,24,1955,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,0.0,24.0,,High school,"Operators, Fabricators, and Laborers",18510.0,Health doesn't affect work,5
Male,53,1926,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,28.0,37.0,High school,Clerical and Administrative Support Occupations,20875.0,Health doesn't affect work,6
Female,27,1952,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,,High school,Clerical and Administrative Support Occupations,5370.0,Health doesn't affect work,7
Female,39,1941,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,18.0,27.0,High school,Service Occupations,4005.0,Health doesn't affect work,8
Male,24,1955,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,18.0,,High school,"Operators, Fabricators, and Laborers",4205.0,Health doesn't affect work,9
Female,54,1925,"Non-Black, Non-Hispanic",Immigrant,Divorced/widowed,2.0,28.0,34.0,High school,Sales Occupations,10505.0,Health doesn't affect work,10
Female,50,1930,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,20.0,,College and above,Clerical and Administrative Support Occupations,14820.0,Health doesn't affect work,11
Female,48,1931,Black,Non-immigrant,Divorced/widowed,8.0,14.0,28.0,Less than high school,,4805.0,Health doesn't affect work,12
Male,3,1976,Black,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,13
Male,37,1942,Hispanic,Non-immigrant,Married,0.0,19.0,19.0,College and above,Sales Occupations,42310.0,Health doesn't affect work,14
Female,33,1946,Black,Non-immigrant,Married,4.0,20.0,18.0,High school,"Operators, Fabricators, and Laborers",6740.0,Health doesn't affect work,15
Male,4,1975,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,16
Female,27,1952,Hispanic,Immigrant,Divorced/widowed,0.0,19.0,,College and above,Service Occupations,12005.0,Health doesn't affect work,17
Female,29,1951,"Non-Black, Non-Hispanic",Non-immigrant,Married,3.0,22.0,25.0,High school,Sales Occupations,3005.0,Health doesn't affect work,18
Female,12,1967,Hispanic,Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,19
Female,10,1969,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,20
Male,16,1963,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,"Farming, Forestry, and Fishing Occupations",1380.0,Health doesn't affect work,21
Female,17,1962,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Service Occupations,0.0,Health doesn't affect work,22
Male,64,1915,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,24.0,,College and above,,18415.0,Health affects work,23
Female,64,1915,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,3810.0,Health affects work,24
Male,43,1936,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,14.0,26.0,High school,Sales Occupations,0.0,Health doesn't affect work,25
Female,43,1937,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,College and above,Service Occupations,4750.0,Health affects work,26
Male,22,1957,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Military Occupations,5505.0,Health doesn't affect work,27
Male,1,1979,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,28
Female,1,1978,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,29
Male,36,1943,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,27.0,High school,"Operators, Fabricators, and Laborers",30005.0,Health doesn't affect work,30
Male,39,1940,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,21.0,22.0,College and above,"Operators, Fabricators, and Laborers",25005.0,Health doesn't affect work,31
Female,23,1956,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,22.0,,College and above,Professional Specialty Occupations,9670.0,Health doesn't affect work,32
Female,35,1945,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,18.0,22.0,High school,Clerical and Administrative Support Occupations,7975.0,Health doesn't affect work,33
Female,0,1980,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,34
Female,10,1969,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,Less than high school,,,Health doesn't affect work,35
Male,40,1939,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,23.0,25.0,College and above,Professional Specialty Occupations,21160.0,Health doesn't affect work,36
Male,57,1923,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,22.0,38.0,Less than high school,"Operators, Fabricators, and Laborers",12005.0,Health doesn't affect work,37
Male,61,1918,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,29.0,33.0,High school,"Precision Production, Craft, and Repair Occupations",25010.0,Health doesn't affect work,38
Male,71,1909,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,25.0,,High school,,4005.0,Health affects work,39
Male,44,1936,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,28.0,31.0,College and above,Professional Specialty Occupations,10160.0,Health doesn't affect work,40
Female,18,1961,Black,Non-immigrant,Single,1.0,,17.0,High school,Sales Occupations,1235.0,Health doesn't affect work,41
Male,56,1923,"Non-Black, Non-Hispanic",Non-immigrant,Married,0.0,26.0,30.0,College and above,Professional Specialty Occupations,19910.0,Health doesn't affect work,42
Male,18,1961,Hispanic,Immigrant,Single,0.0,,,High school,"Operators, Fabricators, and Laborers",7005.0,Health doesn't affect work,43
Female,19,1960,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,,High school,Service Occupations,6005.0,Health doesn't affect work,44
Female,25,1954,Hispanic,Non-immigrant,Married,2.0,19.0,20.0,High school,Clerical and Administrative Support Occupations,8085.0,Health doesn't affect work,45
