gender,age,birth_year,race,marital_status,child_number,age_first_childbirth,education,laborforce,occupation,income,poverty_status,profile_id
Female,13,1967.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,0
Male,22,1958.0,"Non-Black, Non-Hispanic",Single,0,,College and above,Not in the labor force,,3650.0,Above poverty line,1
Female,17,1963.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,Service Occupations,2212.0,Above poverty line,2
Male,3,1977.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,3
Female,13,1967.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,4
Male,33,1947.0,Hispanic,Married,2,25.0,High school,In the labor force,"Operators, Fabricators, and Laborers",20108.0,Above poverty line,5
Female,44,1936.0,Black,Married,0,,High school,Not in the labor force,,2.0,Above poverty line,6
Male,30,1950.0,"Non-Black, Non-Hispanic",Married,4,23.0,High school,In the labor force,"Farming, Forestry, and Fishing Occupations",0.0,Below poverty line,7
Female,33,1947.0,"Non-Black, Non-Hispanic",Divorced/widowed,1,28.0,College and above,In the labor force,Professional Specialty Occupations,18500.0,Above poverty line,8
Male,6,1974.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,9
Female,6,1974.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,10
Male,14,1966.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,Not in the labor force,,,Above poverty line,11
Female,34,1946.0,"Non-Black, Non-Hispanic",Divorced/widowed,2,21.0,High school,In the labor force,Clerical and Administrative Support Occupations,3618.0,Below poverty line,12
Female,46,1934.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,Clerical and Administrative Support Occupations,614.0,Above poverty line,13
Female,23,1957.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Service Occupations,4195.0,Above poverty line,14
Female,6,1974.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,15
Male,33,1947.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,College and above,In the labor force,Clerical and Administrative Support Occupations,16000.0,Above poverty line,16
Female,29,1951.0,"Non-Black, Non-Hispanic",Married,2,24.0,College and above,Not in the labor force,,83.0,Above poverty line,17
Female,61,1919.0,"Non-Black, Non-Hispanic",Married,0,,High school,Not in the labor force,,7289.0,Above poverty line,18
Male,63,1917.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,"Farming, Forestry, and Fishing Occupations",22584.0,Above poverty line,19
Female,36,1944.0,"Non-Black, Non-Hispanic",Married,2,22.0,High school,In the labor force,Professional Specialty Occupations,5978.0,Above poverty line,20
Male,23,1957.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,"Operators, Fabricators, and Laborers",14000.0,Above poverty line,21
Male,29,1951.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Professional Specialty Occupations,28100.0,Above poverty line,22
Female,62,1918.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Professional Specialty Occupations,20864.0,Above poverty line,23
Male,17,1963.0,Black,Single,0,,High school,Not in the labor force,,0.0,Above poverty line,24
Female,77,1903.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,Less than high school,Not in the labor force,,11825.0,Above poverty line,25
Female,7,1973.0,Hispanic,Single,0,,Less than high school,,,,Above poverty line,26
Male,54,1926.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Professional Specialty Occupations,6642.0,Above poverty line,27
Male,13,1967.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,28
Female,16,1964.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,Service Occupations,940.0,Above poverty line,29
Female,47,1933.0,"Non-Black, Non-Hispanic",Married,2,31.0,High school,Not in the labor force,Service Occupations,24.0,Below poverty line,30
Female,51,1929.0,"Non-Black, Non-Hispanic",Married,2,35.0,High school,Not in the labor force,,0.0,Above poverty line,31
Male,8,1972.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,32
Male,15,1965.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,Not in the labor force,,0.0,Above poverty line,33
Male,18,1962.0,Black,Single,0,,High school,Not in the labor force,,0.0,Above poverty line,34
Female,21,1959.0,"Non-Black, Non-Hispanic",Single,0,,College and above,Not in the labor force,Professional Specialty Occupations,1850.0,Above poverty line,35
Male,42,1938.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Professional Specialty Occupations,7000.0,Above poverty line,36
Female,49,1931.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,High school,In the labor force,Service Occupations,7020.0,Above poverty line,37
Male,12,1968.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,38
Female,60,1920.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,High school,Not in the labor force,,1090.0,Below poverty line,39
Female,22,1958.0,Hispanic,Married,1,22.0,High school,Not in the labor force,,40.0,Above poverty line,40
Male,37,1943.0,"Non-Black, Non-Hispanic",Married,2,22.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",19012.0,Above poverty line,41
Male,9,1971.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,42
Male,45,1935.0,"Non-Black, Non-Hispanic",Married,3,27.0,Less than high school,In the labor force,"Precision Production, Craft, and Repair Occupations",25014.0,Above poverty line,43
Male,4,1976.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,44
Female,15,1965.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,Service Occupations,0.0,Above poverty line,45
Male,54,1926.0,"Non-Black, Non-Hispanic",Married,4,34.0,College and above,In the labor force,Managerial Occupations,42400.0,Above poverty line,46
Female,63,1917.0,Black,Divorced/widowed,2,31.0,High school,In the labor force,"Farming, Forestry, and Fishing Occupations",10207.0,Above poverty line,47
Female,38,1942.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Service Occupations,9100.0,Above poverty line,48
Male,50,1930.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Sales Occupations,11250.0,Above poverty line,49
Male,49,1931.0,"Non-Black, Non-Hispanic",Married,2,39.0,College and above,In the labor force,"Operators, Fabricators, and Laborers",10488.0,Above poverty line,50
Male,7,1973.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,51
Male,25,1955.0,"Non-Black, Non-Hispanic",Married,1,24.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",24250.0,Above poverty line,52
Male,17,1963.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,Service Occupations,1486.0,Above poverty line,53
Female,18,1962.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,Clerical and Administrative Support Occupations,1004.0,Above poverty line,54
Female,14,1966.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,Not in the labor force,,,Above poverty line,55
Male,16,1964.0,"Non-Black, Non-Hispanic",Single,0,,High school,Not in the labor force,,365.0,Above poverty line,56
Female,27,1953.0,"Non-Black, Non-Hispanic",Married,1,23.0,College and above,Not in the labor force,,100.0,Above poverty line,57
Male,22,1958.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,In the labor force,"Precision Production, Craft, and Repair Occupations",5706.0,Above poverty line,58
Female,24,1956.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Service Occupations,8232.0,Above poverty line,59
Female,24,1956.0,"Non-Black, Non-Hispanic",Married,1,24.0,High school,Not in the labor force,,5100.0,Above poverty line,60
Male,54,1926.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,Professional Specialty Occupations,16900.0,Above poverty line,61
Female,12,1968.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,62
Male,44,1936.0,Hispanic,Married,0,,Less than high school,In the labor force,"Precision Production, Craft, and Repair Occupations",18720.0,Above poverty line,63
Male,6,1974.0,Hispanic,Single,0,,Less than high school,,,,Below poverty line,64
Female,41,1939.0,"Non-Black, Non-Hispanic",Married,2,19.0,High school,Not in the labor force,,0.0,Above poverty line,65
Male,36,1944.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,Service Occupations,20005.0,Above poverty line,66
Female,15,1965.0,Black,Single,0,,High school,Not in the labor force,,0.0,Below poverty line,67
Female,17,1963.0,"Non-Black, Non-Hispanic",Single,0,,High school,In the labor force,Sales Occupations,1859.0,Above poverty line,68
Female,51,1929.0,"Non-Black, Non-Hispanic",Married,1,25.0,High school,In the labor force,Clerical and Administrative Support Occupations,1633.0,Above poverty line,69
Female,43,1937.0,Hispanic,Married,1,33.0,High school,Not in the labor force,,1351.0,Above poverty line,70
Male,75,1905.0,"Non-Black, Non-Hispanic",Divorced/widowed,1,22.0,Less than high school,Not in the labor force,,9418.0,Above poverty line,71
Male,28,1952.0,Black,Married,3,19.0,College and above,In the labor force,Clerical and Administrative Support Occupations,11200.0,Above poverty line,72
Male,41,1939.0,"Non-Black, Non-Hispanic",Married,2,24.0,High school,In the labor force,Managerial Occupations,19357.0,Above poverty line,73
Female,16,1964.0,"Non-Black, Non-Hispanic",Single,0,,High school,Not in the labor force,,0.0,Above poverty line,74
Male,33,1947.0,"Non-Black, Non-Hispanic",Married,2,28.0,High school,In the labor force,"Operators, Fabricators, and Laborers",23030.0,Above poverty line,75
Male,21,1959.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Service Occupations,6658.0,Above poverty line,76
Male,8,1972.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,77
Female,24,1956.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,"Operators, Fabricators, and Laborers",4000.0,Above poverty line,78
Female,39,1941.0,"Non-Black, Non-Hispanic",Married,2,29.0,College and above,Not in the labor force,,48.0,Above poverty line,79
Male,57,1923.0,"Non-Black, Non-Hispanic",Married,0,,Less than high school,In the labor force,"Precision Production, Craft, and Repair Occupations",17026.0,Above poverty line,80
Female,13,1967.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Below poverty line,81
Female,52,1928.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,Clerical and Administrative Support Occupations,10900.0,Above poverty line,82
Male,31,1949.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Professional Specialty Occupations,22040.0,Above poverty line,83
Male,25,1955.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Sales Occupations,7305.0,Above poverty line,84
Female,23,1957.0,"Non-Black, Non-Hispanic",Single,0,,High school,Not in the labor force,,13750.0,Above poverty line,85
Male,30,1950.0,"Non-Black, Non-Hispanic",Married,1,25.0,College and above,In the labor force,Sales Occupations,23500.0,Above poverty line,86
Male,19,1961.0,"Non-Black, Non-Hispanic",Married,1,19.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",5217.0,Above poverty line,87
Male,53,1927.0,"Non-Black, Non-Hispanic",Married,4,28.0,College and above,In the labor force,Managerial Occupations,46243.0,Above poverty line,88
Female,12,1968.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,89
Male,14,1966.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,Not in the labor force,,,Above poverty line,90
Male,1,1979.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,91
Female,7,1973.0,Hispanic,Single,0,,Less than high school,,,,Above poverty line,92
Female,30,1950.0,"Non-Black, Non-Hispanic",Divorced/widowed,3,21.0,College and above,In the labor force,Clerical and Administrative Support Occupations,6430.0,Below poverty line,93
Male,74,1906.0,"Non-Black, Non-Hispanic",Married,0,,Less than high school,Not in the labor force,,5099.0,Above poverty line,94
Female,18,1962.0,Hispanic,Single,0,,High school,Not in the labor force,,826.0,Above poverty line,95
Male,29,1951.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,"Operators, Fabricators, and Laborers",7292.0,Above poverty line,96
Female,44,1936.0,"Non-Black, Non-Hispanic",Married,1,26.0,College and above,In the labor force,Clerical and Administrative Support Occupations,9031.0,Above poverty line,97
Male,28,1952.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Managerial Occupations,17400.0,Above poverty line,98
Female,10,1970.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,99
Male,0,1980.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,100
Female,22,1958.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Managerial Occupations,24240.0,Above poverty line,101
Female,10,1970.0,Hispanic,Single,0,,Less than high school,,,,Below poverty line,102
Female,62,1918.0,"Non-Black, Non-Hispanic",Married,0,,High school,Not in the labor force,,6077.0,Above poverty line,103
Female,77,1903.0,"Non-Black, Non-Hispanic",Married,0,,High school,Not in the labor force,,11971.0,Above poverty line,104
Male,24,1956.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,"Operators, Fabricators, and Laborers",27035.0,Above poverty line,105
Female,59,1921.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,High school,In the labor force,Service Occupations,1212.0,Below poverty line,106
Male,30,1950.0,"Non-Black, Non-Hispanic",Married,2,24.0,College and above,In the labor force,Managerial Occupations,20440.0,Above poverty line,107
Female,61,1919.0,"Non-Black, Non-Hispanic",Single,0,,College and above,Not in the labor force,,17356.0,Above poverty line,108
Female,54,1926.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Managerial Occupations,17976.0,Above poverty line,109
Female,18,1962.0,"Non-Black, Non-Hispanic",Single,0,,High school,Not in the labor force,,1200.0,Above poverty line,110
Female,54,1926.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,"Operators, Fabricators, and Laborers",8624.0,Above poverty line,111
Female,5,1975.0,Hispanic,Single,0,,Less than high school,,,,Below poverty line,112
Female,11,1969.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,113
Female,40,1940.0,"Non-Black, Non-Hispanic",Married,1,19.0,High school,In the labor force,Clerical and Administrative Support Occupations,13260.0,Above poverty line,114
Female,54,1926.0,"Non-Black, Non-Hispanic",Married,1,33.0,High school,In the labor force,"Operators, Fabricators, and Laborers",11250.0,Above poverty line,115
Male,80,1900.0,"Non-Black, Non-Hispanic",Married,0,,High school,Not in the labor force,,3756.0,Above poverty line,116
Male,27,1953.0,"Non-Black, Non-Hispanic",Married,1,27.0,High school,In the labor force,"Precision Production, Craft, and Repair Occupations",20050.0,Above poverty line,117
Female,20,1960.0,"Non-Black, Non-Hispanic",Married,0,,High school,In the labor force,Sales Occupations,9580.0,Above poverty line,118
Female,56,1924.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,High school,In the labor force,Clerical and Administrative Support Occupations,25800.0,Above poverty line,119
Male,67,1913.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,Less than high school,Not in the labor force,,3078.0,Below poverty line,120
Male,24,1956.0,Hispanic,Single,0,,College and above,Not in the labor force,,3655.0,Above poverty line,121
Female,29,1951.0,"Non-Black, Non-Hispanic",Married,1,28.0,College and above,In the labor force,Clerical and Administrative Support Occupations,3000.0,Above poverty line,122
Male,15,1965.0,"Non-Black, Non-Hispanic",Single,0,,High school,Not in the labor force,,1.0,Below poverty line,123
Male,25,1955.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Managerial Occupations,14000.0,Above poverty line,124
Female,40,1940.0,"Non-Black, Non-Hispanic",Married,1,25.0,High school,In the labor force,Sales Occupations,1088.0,Above poverty line,125
Female,41,1939.0,"Non-Black, Non-Hispanic",Married,2,21.0,High school,In the labor force,Managerial Occupations,12047.0,Above poverty line,126
Male,22,1958.0,Hispanic,Single,0,,High school,In the labor force,Service Occupations,1200.0,Below poverty line,127
Female,27,1953.0,"Non-Black, Non-Hispanic",Married,0,,College and above,In the labor force,Professional Specialty Occupations,6625.0,Above poverty line,128
Female,20,1960.0,"Non-Black, Non-Hispanic",Single,0,,College and above,In the labor force,Clerical and Administrative Support Occupations,8000.0,Above poverty line,129
Female,6,1974.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,130
Female,28,1952.0,"Non-Black, Non-Hispanic",Married,1,28.0,High school,Not in the labor force,,50.0,Above poverty line,131
Female,76,1904.0,"Non-Black, Non-Hispanic",Divorced/widowed,0,,High school,Not in the labor force,,5291.0,Above poverty line,132
Male,6,1974.0,"Non-Black, Non-Hispanic",Single,0,,Less than high school,,,,Above poverty line,133
