gender,age,birth_year,race,immigrant_status,marital_status,child_number,age_first_childbirth,education,occupation,income,profile_id
Female,75.0,1943.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,2.0,22.0,High school,Sales and office occupations,,0
Female,71.0,1947.0,"Non-Black, Non-Hispanic",Immigrant,Married,2.0,21.0,College and above,Sales and office occupations,,1
Male,81.0,1937.0,Hispanic,Non-immigrant,Married,6.0,22.0,High school,Unemployed,,2
Female,45.0,1973.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,6.0,17.0,College and above,Sales and office occupations,,3
Female,77.0,1941.0,Black,Non-immigrant,Divorced/widowed,5.0,20.0,High school,Service occupations,,4
Female,51.0,1967.0,Black,Non-immigrant,Married,1.0,23.0,College and above,"Management, professional, and related occupations",,5
Male,21.0,1997.0,"Non-Black, Non-Hispanic",Non-immigrant,Single,0.0,,College and above,Unemployed,,6
Female,56.0,1962.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,1.0,30.0,High school,Sales and office occupations,,7
Female,53.0,1965.0,"Non-Black, Non-Hispanic",Non-immigrant,Divorced/widowed,3.0,21.0,College and above,"Management, professional, and related occupations",,8
Female,71.0,1947.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,2.0,20.0,College and above,Sales and office occupations,,9
Female,51.0,1967.0,Hispanic,Immigrant,Married,2.0,19.0,High school,Service occupations,,10
Male,58.0,1960.0,Hispanic,Non-immigrant,Married,7.0,19.0,High school,"Production, transportation, and material moving occupations",,11
Female,49.0,1969.0,Hispanic,Immigrant,Divorced/widowed,2.0,30.0,College and above,Service occupations,,12
Male,24.0,1994.0,Hispanic,Non-immigrant,Single,0.0,,High school,"Management, professional, and related occupations",,13
Female,65.0,1953.0,"Non-Black, Non-Hispanic",Non-immigrant,Married,4.0,21.0,College and above,"Production, transportation, and material moving occupations",,14
Male,60.0,1958.0,"Non-Black, Non-Hispanic",Immigrant,Married,0.0,,College and above,"Management, professional, and related occupations",,15
